date,code,open,high,low,close,change,volume,amount
20180102,000423.SZ,60.27,61.33,60.27,61.1,0.83,50161.33,305202.417
20180103,000423.SZ,61.3,62.97,61.13,62.4,1.3,109626.8,682491.04
20180104,000423.SZ,62.33,63.11,62.01,62.61,0.21,68587.56,430659.27
20180105,000423.SZ,62.6,63.48,62.36,62.75,0.14,44649.93,280311.493
20180108,000423.SZ,62.8,63.15,62.29,62.78,0.03,45403.32,284203.503
20180109,000423.SZ,62.8,64.38,62.37,64.25,1.47,92432.47,587236.272
20180110,000423.SZ,63.92,64.43,63.4,64.09,-0.16,63322.5,404502.646
20180111,000423.SZ,63.89,64.07,63.5,63.6,-0.49,36317.55,231528.128
20180112,000423.SZ,63.68,64.51,63.5,64.08,0.48,62447.68,399683.686
20180115,000423.SZ,64.08,64.08,63.18,63.37,-0.71,56954.66,362304.188
20180116,000423.SZ,63.37,65.48,63.18,64.9,1.53,99750.3,643191.406
20180117,000423.SZ,64.89,65.17,63.42,63.9,-1.0,75494.72,484216.902
20180118,000423.SZ,64.19,65.51,63.5,65.3,1.4,84662.57,547159.498
20180119,000423.SZ,65.34,65.93,64.78,65.7,0.4,83770.41,547030.344
20180122,000423.SZ,66.18,68.26,66.18,67.86,2.16,141471.88,955435.849
20180123,000423.SZ,67.65,68.48,67.3,68.06,0.2,79560.48,541383.429
20180124,000423.SZ,68.31,68.38,66.8,67.89,-0.17,80420.82,542140.144
20180125,000423.SZ,67.3,67.94,66.0,66.2,-1.69,76703.44,509896.83
20180126,000423.SZ,66.43,67.22,66.03,66.66,0.46,45573.03,304236.363
20180129,000423.SZ,66.5,67.26,64.99,64.99,-1.67,61621.4,407545.772
20180130,000423.SZ,65.13,65.99,65.05,65.35,0.36,53156.43,348605.419
20180131,000423.SZ,65.3,66.38,65.08,65.65,0.3,45495.53,299141.017
20180201,000423.SZ,65.8,65.8,64.0,64.83,-0.82,53046.01,343251.186
20180202,000423.SZ,64.5,64.78,63.88,64.45,-0.38,41351.91,266024.317
20180205,000423.SZ,64.0,64.48,63.28,63.32,-1.13,48174.35,307098.078
20180206,000423.SZ,62.3,62.6,61.01,61.61,-1.71,83577.54,515341.389
20180207,000423.SZ,62.3,62.61,60.48,60.48,-1.13,70215.59,430480.031
20180208,000423.SZ,60.64,61.47,60.51,60.94,0.46,42837.37,261127.545
20180209,000423.SZ,59.86,60.32,58.0,59.0,-1.94,86593.17,514772.559
20180212,000423.SZ,59.18,61.16,59.18,61.1,2.1,41272.8,248943.396
20180213,000423.SZ,62.5,63.27,62.5,62.75,1.65,70855.14,445213.292
20180214,000423.SZ,62.46,63.04,61.93,62.53,-0.22,24830.94,154965.166
20180222,000423.SZ,61.68,63.11,61.68,62.55,0.02,53222.97,332455.075
20180223,000423.SZ,62.45,62.45,60.52,61.2,-1.35,59475.73,364898.882
20180226,000423.SZ,60.9,61.84,59.32,61.6,0.4,127335.21,765270.564
20180227,000423.SZ,62.01,62.2,60.6,60.65,-0.95,49840.25,306013.553
