date,code,open,high,low,close,change,volume,amount,equity_ratio,current_ratio,pe_ttm,EPS,dv_ratio
2023-06-30,000001.SZ,11.18,11.31,11.15,11.23,0.05,519052.58,583494.655,11.1673,,4.6105,16.5049,2.0303
2023-06-30,000002.SZ,14.08,14.25,13.97,14.02,0.01,576524.35,812655.53,3.1828,1.3495,7.39,-20.0,6.9101
2023-06-30,000004.SZ,15.5,16.2,14.99,15.25,-0.74,122877.58,191007.11,0.5693,2.4822,,7.3192,0.0
2023-06-30,000005.SZ,1.24,1.28,1.24,1.27,0.03,100750.52,12744.758,0.9686,1.8532,,-131.746,0.0
2023-06-30,000006.SZ,4.34,4.44,4.31,4.37,0.04,89340.0,39219.151,2.3257,1.7513,16.2475,-96.1818,2.7689
2023-06-30,000007.SZ,4.47,4.47,4.47,4.47,0.21,3308.01,1478.68,2.2126,2.0378,,221.5278,0.0
2023-06-30,000008.SZ,2.35,2.37,2.34,2.36,0.01,152972.47,36042.619,1.6479,0.8552,,0.9677,0.0
2023-06-30,000009.SZ,11.8,12.08,11.79,12.07,0.23,162847.46,195802.06,1.4905,1.754,25.2936,16.1487,0.29
2023-06-30,000010.SZ,2.2,2.3,2.2,2.28,0.07,115676.0,26190.666,3.6023,0.9653,,-1324.7191,0.0
2023-06-30,000011.SZ,9.21,9.35,9.2,9.29,0.1,13582.0,12626.141,2.4691,2.0209,16.7048,-11.9059,7.3197
2023-06-30,000012.SZ,5.89,5.99,5.88,5.96,0.06,97062.65,57809.884,0.9106,1.2071,8.9278,-12.1212,3.3557
2023-06-30,000014.SZ,11.38,11.84,11.24,11.44,0.15,126200.86,145513.135,0.6581,2.2692,7.018,905.5556,0.3642
2023-06-30,000016.SZ,4.69,4.74,4.65,4.72,0.02,76139.4,35857.936,3.7449,1.0335,,-211.5278,1.0593
2023-06-30,000017.SZ,4.23,4.33,4.18,4.32,0.12,39783.76,17078.721,0.2961,4.3883,,362.963,0.0
2023-06-30,000019.SZ,7.32,7.43,7.31,7.42,0.08,31608.9,23370.596,0.6083,1.5843,22.0066,-29.2091,3.3693
2023-06-30,000020.SZ,10.81,12.12,10.78,11.57,0.55,160632.31,184584.012,0.6145,1.4882,307.5009,-10.6109,0.0
2023-06-30,000021.SZ,19.76,20.1,19.51,19.99,0.04,701613.17,1391483.735,1.3143,1.2711,60.2409,-34.863,0.7504
2023-06-30,000023.SZ,6.52,6.74,6.45,6.65,0.07,15037.0,9927.098,6.063,0.9834,,18.6937,0.0
2023-06-30,000025.SZ,18.04,18.49,17.86,18.27,0.27,112649.71,205625.625,0.5024,1.7261,105.0578,1.4866,0.1368
2023-06-30,000026.SZ,12.01,12.19,11.93,12.06,0.12,34885.0,42150.479,0.3165,3.1722,17.7647,34.7956,2.4905
2023-06-30,000027.SZ,6.65,6.7,6.57,6.59,-0.1,240715.91,159196.186,1.7227,1.1416,13.5436,85.0,2.6555
2023-06-30,000027.SZ,6.65,6.7,6.57,6.59,-0.1,240715.91,159196.186,1.7227,1.1416,13.5436,85.0,2.6555
2023-06-30,000028.SZ,42.21,44.15,41.84,43.61,1.36,64738.96,282752.667,1.4825,1.408,15.2026,23.1405,1.0583
2023-06-30,000029.SZ,10.68,10.86,10.63,10.81,0.27,31705.77,34207.847,0.3035,4.2806,,-125.5749,0.8141
2023-06-30,000030.SZ,5.03,5.1,4.99,5.04,0.01,70832.58,35746.582,0.8519,1.314,15.7036,98.626,5.8757
2023-06-30,000031.SZ,3.63,3.72,3.61,3.66,0.05,145163.51,53331.131,3.3502,1.6225,,-50.0,0.0
2023-06-30,000032.SZ,32.65,33.18,32.35,32.9,-0.06,126580.94,415198.123,4.1708,1.2023,,53.5181,0.3042
2023-06-30,000034.SZ,26.3,26.85,25.89,26.59,0.04,177588.32,467897.446,3.7003,1.2205,17.3409,8.78,0.688
2023-06-30,000035.SZ,4.5,4.62,4.48,4.58,0.08,118794.86,54295.773,1.5627,0.8052,91.2046,33.2689,2.066
2023-06-30,000036.SZ,3.99,4.14,3.99,4.12,0.1,160812.72,65812.453,0.3039,4.4478,14.202,-48.5876,1.6505
2023-06-30,000037.SZ,13.24,13.76,12.24,12.27,-0.95,975904.79,1232112.744,0.4682,2.2622,,60.41,0.0
2023-06-30,000039.SZ,6.91,6.92,6.86,6.89,0.0,89455.03,61621.81,1.4681,1.1847,22.2065,-85.1064,6.6763
2023-06-30,000040.SZ,4.14,4.16,4.1,4.16,0.01,259704.11,107315.337,1.1845,1.4611,,114.4558,0.0
2023-06-30,000042.SZ,7.37,7.54,7.34,7.48,0.14,27144.82,20284.466,3.6005,1.6892,47.7111,-107.6151,0.4278
2023-06-30,000045.SZ,10.72,11.07,10.63,11.0,0.29,60191.84,65278.615,0.3996,3.2375,80.994,-14.4391,0.4545
2023-06-30,000048.SZ,19.29,19.73,19.12,19.52,0.39,44265.82,86325.179,2.7622,0.6362,4.7848,797.3303,6.6598
2023-06-30,000049.SZ,34.19,35.43,34.08,35.28,1.08,58063.71,203819.176,1.867,1.448,13.4464,-42.8961,2.1323
2023-06-30,000050.SZ,9.06,9.2,9.05,9.18,0.11,51644.97,47243.347,1.8173,1.0553,,-483.7748,0.7625
2023-06-30,000055.SZ,4.63,5.07,4.63,4.95,0.3,311440.43,152128.952,1.1776,1.3164,17.1549,70.0,1.0101
2023-06-30,000056.SZ,3.82,3.91,3.82,3.89,0.07,122111.66,47408.84,4.5723,0.1803,,-68.1818,0.0
2023-06-30,000058.SZ,6.15,6.23,6.15,6.18,0.03,41328.25,25594.112,1.0658,1.708,508.5008,682.3834,0.1618
2023-06-30,000059.SZ,6.2,6.36,6.17,6.29,0.12,164873.08,103908.523,1.0726,2.4343,,-234.802,3.4658
2023-06-30,000060.SZ,4.65,4.8,4.62,4.75,0.13,279637.08,132245.408,1.6458,1.2746,14.7961,-39.1304,1.9943
2023-06-30,000061.SZ,5.96,6.02,5.94,5.99,0.05,44926.6,26930.266,1.7897,0.464,46.888,41.2718,1.1686
2023-06-30,000062.SZ,11.28,11.45,11.25,11.42,0.15,29857.82,33946.389,1.0144,1.5596,13.92,-48.9183,2.627
2023-06-30,000063.SZ,45.18,46.35,44.53,45.54,0.36,1096454.22,4982749.285,1.9048,1.9568,25.3759,19.7917,0.6578
2023-06-30,000065.SZ,14.89,15.23,14.79,15.02,0.11,110475.02,166492.509,1.5488,1.6518,20.7525,8.6957,0.4146
2023-06-30,000066.SZ,13.93,14.05,13.67,13.83,-0.22,568285.39,785341.106,1.3075,2.0595,,-110.7527,0.3413
2023-06-30,000066.SZ,13.93,14.05,13.67,13.83,-0.22,568285.39,785341.106,1.3075,2.0595,,-110.7527,0.3413
2023-06-30,000068.SZ,2.92,3.03,2.92,2.99,0.08,73353.15,21860.613,3.8835,0.6606,,1725.0,0.0
2023-06-30,000069.SZ,4.4,4.45,4.39,4.4,0.02,202867.77,89562.402,3.1515,1.6782,,-1331.0606,2.2273
2023-06-30,000070.SZ,9.21,9.78,9.16,9.66,0.41,502117.71,479081.483,2.1019,1.3637,,-116.1496,0.0
2023-06-30,000078.SZ,3.2,3.23,3.18,3.22,0.04,57045.0,18336.407,4.8974,1.0641,,-22.9469,0.0
2023-06-30,000088.SZ,4.82,4.86,4.81,4.85,0.04,34696.81,16816.326,0.5016,3.9651,23.0791,35.0239,0.6186
2023-06-30,000089.SZ,6.91,6.96,6.88,6.95,0.04,53863.2,37325.523,1.3523,0.7609,,91.1104,0.4317
2023-06-30,000090.SZ,4.97,5.05,4.97,5.04,0.07,90757.61,45702.347,3.6199,1.4373,7.4944,-27.6554,6.5476
2023-06-30,000096.SZ,8.03,8.09,8.02,8.02,0.0,11654.0,9386.269,0.0699,12.6309,75.8776,-25.1121,8.7282
2023-06-30,000099.SZ,9.7,9.74,9.42,9.44,-0.24,366874.66,349429.622,0.2417,4.9187,38.1841,3.9826,0.8475
2023-06-30,000100.SZ,3.84,3.98,3.83,3.94,0.09,3214539.8,1263900.591,1.7309,1.0946,,-58.6517,2.7707
2023-06-30,000151.SZ,13.05,13.23,12.78,13.11,-0.21,305211.65,399350.682,2.5215,1.1523,,-684.0909,0.0
2023-06-30,000153.SZ,9.98,10.47,9.83,10.1,0.58,332388.66,339951.495,1.4023,0.9361,20.3667,-1.9595,0.9306
2023-06-30,000155.SZ,14.1,14.46,14.1,14.4,0.3,155315.19,222920.145,1.169,1.6519,27.7093,40.9091,0.0
2023-06-30,000156.SZ,8.62,8.73,8.54,8.7,0.04,81856.72,70794.229,0.8123,1.0916,20.2743,-11.2477,2.2989
2023-06-30,000157.SZ,6.7,6.76,6.62,6.75,0.0,429678.08,287837.551,1.3901,1.4704,26.5082,25.0,4.7407
2023-06-30,000158.SZ,7.74,8.4,7.58,8.09,0.34,1250931.96,1004527.36,1.5254,1.215,,15.5914,0.0
2023-06-30,000159.SZ,7.16,7.2,7.07,7.1,-0.04,114758.89,81805.095,0.4232,1.9775,12.1175,-91.0976,0.0
2023-06-30,000166.SZ,4.53,4.63,4.51,4.62,0.08,425486.3,195115.243,4.2006,1.56,31.0224,15.38,2.1645
2023-06-30,000301.SZ,11.5,11.94,11.45,11.82,0.3,368345.38,433519.629,3.7396,0.5106,135.4232,-7.4074,1.1414
2023-06-30,000333.SZ,59.23,59.82,58.56,58.92,-0.22,264875.91,1563113.127,1.9242,1.1146,13.6023,14.1026,2.8224
2023-06-30,000338.SZ,12.4,12.57,12.35,12.46,0.0,336910.64,420397.02,1.9449,1.3657,19.0435,66.6667,2.2282
2023-06-30,000338.SZ,12.4,12.57,12.35,12.46,0.0,336910.64,420397.02,1.9449,1.3657,19.0435,66.6667,2.2282
2023-06-30,000400.SZ,22.45,23.12,22.34,23.05,0.55,179634.57,412081.41,0.7746,1.9568,28.7648,20.6568,0.4338
2023-06-30,000401.SZ,7.3,7.39,7.3,7.37,0.07,74967.34,55074.071,0.9661,1.1162,24.5306,-132.3392,10.1764
2023-06-30,000402.SZ,4.49,4.58,4.49,4.52,0.04,73903.05,33554.646,2.6213,2.6065,,-163.1579,0.6637
2023-06-30,000403.SZ,20.36,20.62,19.91,19.96,-0.4,45633.29,92274.322,0.1665,3.3332,27.1863,-35.2941,0.2807
2023-06-30,000404.SZ,6.85,6.98,6.76,6.92,0.07,326444.9,224322.901,1.6408,1.3125,16.4382,106.6318,2.1676
2023-06-30,000407.SZ,3.64,3.65,3.62,3.65,0.02,43181.29,15714.788,1.2573,0.685,22.3731,-10.0,0.9589
2023-06-30,000408.SZ,22.0,22.9,21.96,22.57,0.57,88952.08,199835.663,0.0617,4.4826,6.1915,-14.9235,8.4094
2023-06-30,000409.SZ,9.88,10.15,9.76,9.99,0.04,184272.32,183516.652,0.4213,2.7275,144.4001,186.5922,0.0
2023-06-30,000410.SZ,8.23,8.38,8.21,8.38,0.02,205374.78,170579.342,2.8015,1.1971,,-400.0,0.0
2023-06-30,000411.SZ,11.9,12.14,11.9,12.07,0.17,23640.47,28524.3,2.4727,1.3619,26.1848,72.973,0.8372
2023-06-30,000413.SZ,1.6,1.75,1.59,1.72,0.13,1378600.13,235062.21,1.5074,0.9121,,66.6667,0.0
2023-06-30,000415.SZ,2.08,2.11,2.07,2.1,0.02,133687.31,28013.169,4.7032,0.4937,,170.2725,0.0
2023-06-30,000415.SZ,2.08,2.11,2.07,2.1,0.02,133687.31,28013.169,4.7032,0.4937,,170.2725,0.0
2023-06-30,000416.SZ,1.92,1.98,1.92,1.94,0.01,92344.05,18062.713,0.023,42.7346,,178.2609,1.5464
2023-06-30,000417.SZ,4.63,4.71,4.61,4.68,0.06,57335.0,26839.999,1.4203,1.111,21.0552,139.4324,1.2821
